filename,group,n_tokens,TTR,Root_TTR,MATTR_300,MATTR_500,MATTR_800
Huya yu xi lu,Original Novels,20557,0.23140536070438295,33.17823534895654,0.7135966038108402,0.6514661481703061,0.5928752910213585
Jie wai tanhua,Original Novels,17645,0.23683763105695665,31.460204388831006,0.7183254544755756,0.6563355884754462,0.5954818651311885
Jinghua bi xue lu,Original Novels,18378,0.23522690173032973,31.8886483906141,0.7245773180670021,0.6625041668997148,0.6024283946754649
Jinguo Yangqiu,Original Novels,17460,0.2502290950744559,33.06434509226363,0.6828393838742886,0.6229816638169919,0.5671695876598043
Jinling qiu,Original Novels,27141,0.22272576544710954,36.69301366919563,0.7203889427017359,0.6599008332707755,0.6028428934780958
Yuan hai ling guang,Original Novels,19881,0.1888737991046728,26.631205673758867,0.6551055391005344,0.5871452894438138,0.5246283146420709
Aiji jinta poushi ji,Translated Novels,74854,0.1149704758596735,31.455300272741795,0.6607282766637605,0.5948984466411135,0.5325442576463438
Aisilan qingxia zhuan,Translated Novels,57743,0.11080130924960602,26.625303314309477,0.6326133277626905,0.5609219481517714,0.4967223719794886
Chan chao ji shang,Translated Novels,50637,0.1085569840235401,24.428216086677306,0.6116582568503582,0.5430616697913757,0.4795186403948794
Chan chao ji xu,Translated Novels,46934,0.12332211190181958,26.71681836760754,0.6300270898109431,0.5632714116506946,0.5016290777067303
Feizhou yanshui chou cheng lu,Translated Novels,75769,0.1189536617878024,32.74338641151008,0.666055430413851,0.599902537531553,0.5384092637054821
Gu gui yi jin ji,Translated Novels,54569,0.11226154043504553,26.224305457058133,0.6392829064553774,0.566664508969854,0.5015941045192487
Haiwai xuanqv lu,Translated Novels,38070,0.15799842395587077,30.827917868298577,0.6653381341946644,0.6017671076095925,0.5414271149150814
Haoshi shu lie,Translated Novels,15442,0.17581919440486984,21.84832059470983,0.6147476281670299,0.541448838921234,0.47725508775524145
Lubinxun piaoliuji xuji,Translated Novels,70109,0.11009998716284643,29.15238928304182,0.6424942940361934,0.5730044246516305,0.5097484489972587
Lubinxun piaoliuji,Translated Novels,86893,0.09911040014730761,29.21538577648108,0.6492276601150195,0.5786058754080143,0.5142216211350384
Manhuang zhiyi,Translated Novels,67221,0.11004001725651211,28.530089513466656,0.6366003207714453,0.5671698090584816,0.5038938341212249
Meizhou tongzi wanli xunqin ji,Translated Novels,27291,0.14997618262430837,24.776047212606255,0.6232472584469472,0.5551386981188415,0.4909892137248981
Qing tian yi cai,Translated Novels,23025,0.16599348534201955,25.187836369509764,0.6223308105253894,0.5525954008701056,0.48906022226221546
Sanqian nian yan shi ji,Translated Novels,77450,0.1105229180116204,30.75835135665549,0.6426557011574704,0.5744492729139323,0.512523809213187
Shuangxiong jiaojian lu,Translated Novels,75058,0.10390631245170402,28.466916426104873,0.6385942829625865,0.5688133424536275,0.5040715435166109
Tiannv lihun ji,Translated Novels,25510,0.15139161113288907,24.180041401850776,0.6123085161239141,0.5421596097717004,0.4770508579175266
Tiexia toulu xuji,Translated Novels,39079,0.1418408864095806,28.03968675588772,0.6218053120165034,0.5547122861586314,0.4925250457157785
Tiexia toulu,Translated Novels,37990,0.14043169255067123,27.37157430177941,0.61774791506372,0.5503840921821238,0.4887930547713156
Wu zhong ren,Translated Novels,111411,0.08897685147786125,29.69894827599184,0.6389142186862504,0.5675849141661858,0.5035834606552634
Ying xiaozi huoshan baochou lu,Translated Novels,96420,0.10332918481642812,32.08533416260571,0.6574087521630723,0.5892908747823729,0.5255234205875278
Yu hai liuhen,Translated Novels,39915,0.15077038707252913,30.12202166858128,0.6564251817447495,0.5864750862593869,0.522103614889048
Zha gui ji,Translated Novels,54274,0.11500902826399381,26.79340132241238,0.6275092172301991,0.5566889818688981,0.4915925899953249
Zhongru dulou,Translated Novels,59025,0.11586615840745447,28.149754125899236,0.640657403308018,0.57001999111506,0.5066680692474154
